long,lat,borough,pickups
-73.91728210449219,40.90345764160156,Bronx,675
-73.91155242919922,40.90918731689453,Bronx,675
-73.80842590332031,40.886268615722656,Bronx,675
-73.82560729980469,40.86907958984375,Bronx,675
-73.81988525390625,40.85762023925781,Bronx,675
-73.81988525390625,40.8232421875,Bronx,675
-73.81415557861328,40.81178283691406,Bronx,675
-73.89437103271484,40.806053161621094,Bronx,675
-73.91728210449219,40.90345764160156,Bronx,675
-73.86571502685547,40.6341667175293,Kings,15867
-73.89437103271484,40.62270736694336,Kings,15867
-73.92301177978516,40.61124801635742,Kings,15867
-73.94593048095703,40.58259963989258,Kings,15867
-73.95738983154297,40.56541061401367,Kings,15867
-74.00322723388672,40.58259963989258,Kings,15867
-74.00322723388672,40.60551834106445,Kings,15867
-74.00895690917969,40.62270736694336,Kings,15867
-74.020416259765625,40.645626068115234,Kings,15867
-74.026153564453125,40.66281509399414,Kings,15867
-74.01468658447266,40.67427444458008,Kings,15867
-73.99176788330078,40.68000411987305,Kings,15867
-73.9688491821289,40.69719314575195,Kings,15867
-73.94593048095703,40.72010803222656,Kings,15867
-73.934478759765625,40.70865249633789,Kings,15867
-73.9402084350586,40.69719314575195,Kings,15867
-73.92301177978516,40.68000411987305,Kings,15867
-73.89437103271484,40.67427444458008,Kings,15867
-73.882904052734375,40.65708541870117,Kings,15867
-73.86571502685547,40.6341667175293,Kings,15867
-73.928741455078125,40.806053161621094,New York,117230
-73.934478759765625,40.78886413574219,New York,117230
-73.95166015625,40.777408599853516,New York,117230
-73.96311950683594,40.75448989868164,New York,117230
-73.9688491821289,40.737300872802734,New York,117230
-73.974578857421875,40.7258415222168,New York,117230
-74.00322723388672,40.71438217163086,New York,117230
-74.020416259765625,40.70865249633789,New York,117230
-74.026153564453125,40.72010803222656,New York,117230
-74.00322723388672,40.76594543457031,New York,117230
-73.974578857421875,40.79459762573242,New York,117230
-73.95166015625,40.83470153808594,New York,117230
-73.934478759765625,40.84043502807617,New York,117230
-73.928741455078125,40.83470153808594,New York,117230
-73.934478759765625,40.8232421875,New York,117230
-73.928741455078125,40.806053161621094,New York,117230
-73.76258850097656,40.777408599853516,Queens,8961
-73.72821044921875,40.760215759277344,Queens,8961
-73.71102142333984,40.737300872802734,Queens,8961
-73.71102142333984,40.7258415222168,Queens,8961
-73.72248077392578,40.72010803222656,Queens,8961
-73.72821044921875,40.71438217163086,Queens,8961
-73.71675109863281,40.66281509399414,Queens,8961
-73.72248077392578,40.645626068115234,Queens,8961
-73.73394012451172,40.62270736694336,Queens,8961
-73.745391845703125,40.61124801635742,Queens,8961
-73.71675109863281,40.57686996459961,Queens,8961
-73.76831817626953,40.56541061401367,Queens,8961
-73.81415557861328,40.56541061401367,Queens,8961
-73.85426330566406,40.553951263427734,Queens,8961
-73.882904052734375,40.54822540283203,Queens,8961
-73.91155242919922,40.553951263427734,Queens,8961
-73.90010070800781,40.56541061401367,Queens,8961
-73.86571502685547,40.57686996459961,Queens,8961
-73.82560729980469,40.58832931518555,Queens,8961
-73.791229248046875,40.59406280517578,Queens,8961
-73.77977752685547,40.61124801635742,Queens,8961
-73.77977752685547,40.62270736694336,Queens,8961
-73.796966552734375,40.639896392822266,Queens,8961
-73.83133697509766,40.6341667175293,Queens,8961
-73.86571502685547,40.6341667175293,Queens,8961
-73.882904052734375,40.65708541870117,Queens,8961
-73.89437103271484,40.67427444458008,Queens,8961
-73.92301177978516,40.68000411987305,Queens,8961
-73.9402084350586,40.69719314575195,Queens,8961
-73.934478759765625,40.70865249633789,Queens,8961
-73.94593048095703,40.72010803222656,Queens,8961
-73.91155242919922,40.77167892456055,Queens,8961
-73.888641357421875,40.76594543457031,Queens,8961
-73.86571502685547,40.75448989868164,Queens,8961
-73.8485336303711,40.760215759277344,Queens,8961
-73.83133697509766,40.777408599853516,Queens,8961
-73.81415557861328,40.80032730102539,Queens,8961
-73.80842590332031,40.78313446044922,Queens,8961
-73.7740478515625,40.77167892456055,Queens,8961
-73.76258850097656,40.777408599853516,Queens,8961
-74.16938781738281,40.6513557434082,Richmond,21
-74.14646911621094,40.65708541870117,Richmond,21
-74.09490203857422,40.66281509399414,Richmond,21
-74.0605239868164,40.61124801635742,Richmond,21
-74.08344268798828,40.58832931518555,Richmond,21
-74.12928009033203,40.553951263427734,Richmond,21
-74.16365814208984,40.531036376953125,Richmond,21
-74.18657684326172,40.50811767578125,Richmond,21
-74.23241424560547,40.490928649902344,Richmond,21
-74.27824401855469,40.485198974609375,Richmond,21
-74.295440673828125,40.50811767578125,Richmond,21
-74.289703369140625,40.51957321166992,Richmond,21
-74.26106262207031,40.531036376953125,Richmond,21
-74.243865966796875,40.553951263427734,Richmond,21
-74.23241424560547,40.58259963989258,Richmond,21
-74.22095489501953,40.61124801635742,Richmond,21
-74.203765869140625,40.62270736694336,Richmond,21
-74.18084716796875,40.6513557434082,Richmond,21
-74.16938781738281,40.6513557434082,Richmond,21
